,FGBL,ZF,ZN,YM,STW,SGP,GC,PL,CL,XRB,HO
2003-04-30 00:00:01,0.08406521989807236,0.34714116830197184,0.14952161092968272,0.10681226591283725,0.06957601632165095,0.02031007988324356,0.07799756993724831,0.07259892913112935,0.020350664427634793,0.0135940258976687,0.03803244935885983
2004-04-29 23:59:59,0.08406521989807236,0.34714116830197184,0.14952161092968272,0.10681226591283725,0.06957601632165095,0.02031007988324356,0.07799756993724831,0.07259892913112935,0.020350664427634793,0.0135940258976687,0.03803244935885983
2004-04-30 00:00:01,0.0810821372364678,0.20274726855964825,0.08133582528060186,0.09686295578788907,0.07854926167146738,0.08600767557522426,0.09440974507534636,0.1289839988406202,0.047097160923332375,0.05995206221633073,0.04297190883307164
2005-04-29 23:59:59,0.0810821372364678,0.20274726855964825,0.08133582528060186,0.09686295578788907,0.07854926167146738,0.08600767557522426,0.09440974507534636,0.1289839988406202,0.047097160923332375,0.05995206221633073,0.04297190883307164
2005-04-30 00:00:01,0.10443780536775185,0.18238955941476206,0.05788760229977592,0.11029167160214094,0.04663067766362701,0.10857332246385905,0.07963144420899272,0.12327778868720773,0.06399795759208773,0.05117464334093111,0.07170752735886375
2006-04-29 23:59:59,0.10443780536775185,0.18238955941476206,0.05788760229977592,0.11029167160214094,0.04663067766362701,0.10857332246385905,0.07963144420899272,0.12327778868720773,0.06399795759208773,0.05117464334093111,0.07170752735886375
2006-04-30 00:00:01,0.09140549384589844,0.15018404482885228,0.04767000614638709,0.11531386829012263,0.053348540747403535,0.12518939456610653,0.12189509513703575,0.12188895864850956,0.0623472934173543,0.05572183625231764,0.055035468120012115
2007-04-29 23:59:59,0.09140549384589844,0.15018404482885228,0.04767000614638709,0.11531386829012263,0.053348540747403535,0.12518939456610653,0.12189509513703575,0.12188895864850956,0.0623472934173543,0.05572183625231764,0.055035468120012115
2007-04-30 00:00:01,0.0849213971535411,0.12369106027367412,0.06202336999157265,0.12094776536426,0.052246293832295204,0.15587679535987634,0.11127035397652964,0.12113564243793652,0.05173249158974055,0.057005617255226654,0.059149212765347306
2008-04-29 23:59:59,0.0849213971535411,0.12369106027367412,0.06202336999157265,0.12094776536426,0.052246293832295204,0.15587679535987634,0.11127035397652964,0.12113564243793652,0.05173249158974055,0.057005617255226654,0.059149212765347306
2008-04-30 00:00:01,0.05400467578171882,0.16561416508859417,0.08243795530971215,0.11542470215543876,0.058298754905710085,0.11504660304912473,0.09774664962658637,0.12372256111802224,0.07483441919560267,0.04054089651213061,0.07232861725735942
2009-04-29 23:59:59,0.05400467578171882,0.16561416508859417,0.08243795530971215,0.11542470215543876,0.058298754905710085,0.11504660304912473,0.09774664962658637,0.12372256111802224,0.07483441919560267,0.04054089651213061,0.07232861725735942
2009-04-30 00:00:01,0.09408518089869138,0.19682947230895387,0.09057047744439592,0.09481747439344992,0.09870096292583433,0.07442965093113967,0.11392770449858128,0.0739604590282374,0.06007038216599004,0.053465275876434216,0.04914295952829202
2010-04-29 23:59:59,0.09408518089869138,0.19682947230895387,0.09057047744439592,0.09481747439344992,0.09870096292583433,0.07442965093113967,0.11392770449858128,0.0739604590282374,0.06007038216599004,0.053465275876434216,0.04914295952829202
2010-04-30 00:00:01,0.10969592435130146,0.1938757365960319,0.0788115751990052,0.09420014358685137,0.06239765662295465,0.09120774997840381,0.13023481043076526,0.0792515661200079,0.0549592080467876,0.05243559383279323,0.052930035235097816
2011-04-29 23:59:59,0.10969592435130146,0.1938757365960319,0.0788115751990052,0.09420014358685137,0.06239765662295465,0.09120774997840381,0.13023481043076526,0.0792515661200079,0.0549592080467876,0.05243559383279323,0.052930035235097816
2011-04-30 00:00:01,0.08136393180479522,0.20227366206467953,0.11214991075352204,0.09381355189592153,0.06569332329696746,0.07856213448373947,0.1336292195150227,0.07085644439125162,0.05191565143499241,0.05475947038882557,0.05498269997028245
2012-04-29 23:59:59,0.08136393180479522,0.20227366206467953,0.11214991075352204,0.09381355189592153,0.06569332329696746,0.07856213448373947,0.1336292195150227,0.07085644439125162,0.05191565143499241,0.05475947038882557,0.05498269997028245
2012-04-30 00:00:01,0.11723064225531317,0.19868269297530572,0.10820292012035336,0.10634119434850145,0.05570708274591952,0.09650205010028641,0.12028931871900132,0.051148817369111234,0.056349748848676995,0.036993128717033405,0.05255240380049746
2013-04-29 23:59:59,0.11723064225531317,0.19868269297530572,0.10820292012035336,0.10634119434850145,0.05570708274591952,0.09650205010028641,0.12028931871900132,0.051148817369111234,0.056349748848676995,0.036993128717033405,0.05255240380049746
2013-04-30 00:00:01,0.11572743796937526,0.21464597801317034,0.1146876854244439,0.10056704230443103,0.08208101294866411,0.08626524598679218,0.09271325335286834,0.06703011349824874,0.043359353545352135,0.03607346492021013,0.046849412036444014
2014-04-29 23:59:59,0.11572743796937526,0.21464597801317034,0.1146876854244439,0.10056704230443103,0.08208101294866411,0.08626524598679218,0.09271325335286834,0.06703011349824874,0.043359353545352135,0.03607346492021013,0.046849412036444014
2014-04-30 00:00:01,0.12495211634851414,0.18694247980024897,0.09917484988244782,0.11762286159394844,0.06809081181650986,0.08883049760371167,0.08520722416141811,0.057588511530762644,0.05295649831313407,0.06346658057144994,0.05516756837785431
2015-04-29 23:59:59,0.12495211634851414,0.18694247980024897,0.09917484988244782,0.11762286159394844,0.06809081181650986,0.08883049760371167,0.08520722416141811,0.057588511530762644,0.05295649831313407,0.06346658057144994,0.05516756837785431
